type,distance_zentrum_meters,distance_skilift_meters,zimmer_description,zimmer_typ,has_balkon,price
ferienwohnung,800,100,Apartment mit Blick auf die Berge,apartment,False,411.0
ferienwohnung,900,600,Comfort Studio (2 Erwachsene),studio,False,134.0
ferienwohnung,1400,1200,Zweibettzimmer,zimmer,False,120.0
ferienwohnung,800,300,Standard Doppelzimmer,zimmer,False,199.0
ferienwohnung,1200,100,Executive Doppelzimmer,zimmer,False,285.0
ferienwohnung,700,500,Einzelzimmer,zimmer,False,165.0
ferienwohnung,450,650,Standard Einzelzimmer,zimmer,False,198.0
ferienwohnung,1300,550,Chalet,chalet,False,1170.0
ferienwohnung,900,200,Deluxe Apartment,apartment,False,464.0
ferienwohnung,700,550,Apartment mit 2 Schlafzimmern,apartment,False,679.0
ferienwohnung,5700,1900,Apartment mit Blick auf die Berge,apartment,False,1106.0
ferienwohnung,450,750,Deluxe Studio,studio,False,181.0
ferienwohnung,600,600,Kleines Doppelzimmer,zimmer,False,253.0
ferienwohnung,700,400,Apartment mit 1 Schlafzimmer,apartment,False,235.0
ferienwohnung,14300,550,Apartment mit 1 Schlafzimmer,apartment,False,158.0
ferienwohnung,1100,250,Studio-Apartment,apartment,False,401.0
ferienwohnung,1000,150,Apartment mit Blick auf die Berge,apartment,False,431.0
ferienwohnung,700,100,Apartment mit 1 Schlafzimmer,apartment,False,206.0
ferienwohnung,200,950,Apartment mit 1 Schlafzimmer,apartment,False,313.0
ferienwohnung,350,750,Apartment mit Balkon,apartment,True,6106.0
ferienwohnung,800,50,Apartment mit Blick auf die Berge,apartment,False,416.0
ferienwohnung,1300,250,Apartment mit 2 Schlafzimmern und Bergblick,apartment,False,481.0
ferienwohnung,3300,300,Chalet mit 2 Schlafzimmern,chalet,False,300.0
ferienwohnung,800,150,Apartment mit 1 Schlafzimmer,apartment,False,3916.0
ferienwohnung,800,40,Apartment mit 2 Schlafzimmern,apartment,False,771.0
ferienwohnung,150,650,Apartment mit 2 Schlafzimmern mit Balkon und Terrasse,apartment,True,481.0
ferienwohnung,800,150,Apartment mit 5 Schlafzimmern,apartment,False,766.0
ferienwohnung,3700,850,Apartment mit 3 Schlafzimmern,apartment,False,446.0
ferienwohnung,450,700,Apartment mit Blick auf die Berge,apartment,False,736.0
ferienwohnung,1600,350,Apartment mit 3 Schlafzimmern und Balkon,apartment,True,5006.0
ferienwohnung,200,950,Apartment mit 1 Schlafzimmer,apartment,False,3651.0
ferienwohnung,3800,950,Apartment mit 2 Schlafzimmern und Bergblick,apartment,False,4056.0
ferienwohnung,1300,350,Apartment mit 1 Schlafzimmer,apartment,False,3506.0
ferienwohnung,2000,1400,Chalet mit 2 Schlafzimmern,chalet,False,1406.0
hotel,1600,350,Apartment mit 3 Schlafzimmern und Balkon,apartment,True,5006.0
hotel,700,100,Superior Zimmer West mit Balkon,zimmer,True,149.0
hotel,200,900,Zimmer mit Kingsize-Bett,zimmer,False,142.0
hotel,350,550,Superior Einzelzimmer,zimmer,False,167.0
hotel,200,950,Standard Doppelzimmer,zimmer,False,151.0
hotel,800,100,Standard Einzelzimmer,zimmer,False,125.0
hotel,1200,350,Classic Einzelzimmer,zimmer,False,143.0
hotel,700,150,Einzelzimmer,zimmer,False,90.0
hotel,400,750,Doppelzimmer,zimmer,False,139.0
hotel,450,650,Standard Einzelzimmer,zimmer,False,182.0
hotel,1400,300,Doppelzimmer mit Balkon,zimmer,True,148.0
hotel,800,300,Standard Doppelzimmer,zimmer,False,199.0
hotel,700,450,Einzelzimmer,zimmer,False,171.0
hotel,700,150,Superior Unterkunft Silver mit Queensize-Bett,zimmer,False,255.0
hotel,700,500,Einzelzimmer,zimmer,False,165.0
hotel,400,750,Deluxe Einzelzimmer,zimmer,False,186.0
hotel,1200,100,Superior Doppelzimmer,zimmer,False,247.0
hotel,900,600,Comfort Studio (2 Erwachsene),studio,False,152.0
hotel,300,850,Standard Doppelzimmer,zimmer,False,302.0
hotel,1000,250,Einzelzimmer Sport,zimmer,False,171.0
hotel,450,750,Deluxe Doppelzimmer mit Balkon,zimmer,True,96.0
hotel,1100,40,Einzelzimmer,zimmer,False,222.0
hotel,800,400,Bett im 6-Bett-Schlafsaal,zimmer,False,63.0
hotel,900,250,Standard Einzelzimmer Villa,zimmer,False,181.0
hotel,1600,450,Einzelzimmer,zimmer,False,241.0
hotel,2100,700,Standardzimmer,zimmer,False,406.0
hotel,600,600,Kleines Doppelzimmer,zimmer,False,253.0
hotel,4100,2000,Mini Budget Doppelzimmer,zimmer,False,152.0
hotel,1000,300,Design-Doppelzimmer - Nordseite,zimmer,False,226.0
hotel,700,550,Apartment mit 2 Schlafzimmern,apartment,False,760.0
hotel,1400,250,Zweibettzimmer,zimmer,False,358.0
hotel,1900,600,Doppelzimmer mit Balkon,zimmer,True,156.0
hotel,4100,2000,Comfort Doppelzimmer,zimmer,False,210.0
hotel,400,1100,Executive Dreibettzimmer,zimmer,False,456.0
hotel,7300,1500,Bett im 6-Bett-Schlafsaal,zimmer,False,68.0
hotel,1300,700,Einzelzimmer mit Bergblick,zimmer,False,234.0
hotel,1100,250,Studio-Apartment,apartment,False,401.0
hotel,800,350,Superior Deluxe Doppel-/ Zweibettzimmer,zimmer,False,366.0
hotel,6900,2500,Doppelzimmer mit Gemeinschaftsbad,zimmer,False,166.0
hotel,1000,150,Apartment mit Blick auf die Berge,apartment,False,531.0
hotel,700,100,Apartment mit 1 Schlafzimmer,apartment,False,256.0
hotel,3300,300,Chalet mit 2 Schlafzimmern,chalet,False,300.0
hotel,800,150,Apartment mit 1 Schlafzimmer,apartment,False,3916.0
hotel,6500,40,Zweibettzimmer mit Gemeinschaftsbad,zimmer,False,327.0
hotel,150,650,Apartment mit 2 Schlafzimmern mit Balkon und Terrasse,apartment,True,481.0
hotel,3800,950,Apartment mit 2 Schlafzimmern und Bergblick,apartment,False,4056.0
hotel,2000,1400,Chalet mit 2 Schlafzimmern,chalet,False,1406.0