web_scraper_order,web_scraper_start_url,price_raw,distance_skilift_raw,distance_centre_raw,size_raw,type,distance_zentrum,distance_skilift,zimmer_grösse
1763924145-17,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 247,,,,hotel,"Zentrum: 1,2 km",100 m vom Skilift entfernt,Superior Doppelzimmer
1763924145-18,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 152,,,,hotel,"Zentrum: 0,9 km",600 m vom Skilift entfernt,Comfort Studio (2 Erwachsene)
1763924145-19,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 302,,,,hotel,Zentrum: 300 m,850 m vom Skilift entfernt,Standard Doppelzimmer
1763924145-20,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 171,,,,hotel,Zentrum: 1 km,250 m vom Skilift entfernt,Einzelzimmer Sport
1763924145-21,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 96,,,,hotel,Zentrum: 450 m,750 m vom Skilift entfernt,Deluxe Doppelzimmer mit Balkon
1763924145-22,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 222,,,,hotel,"Zentrum: 1,1 km",40 m vom Skilift entfernt,Einzelzimmer
1763924145-23,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 63,,,,hotel,"Zentrum: 0,8 km",400 m vom Skilift entfernt,Bett im 6-Bett-Schlafsaal
1763924145-24,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 181,,,,hotel,"Zentrum: 0,9 km",250 m vom Skilift entfernt,Standard Einzelzimmer Villa
1763924145-25,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 241,,,,hotel,"Zentrum: 1,6 km",450 m vom Skilift entfernt,Einzelzimmer
1763924145-26,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 406,,,,hotel,"Zentrum: 2,1 km",700 m vom Skilift entfernt,Standardzimmer
1763924145-27,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 253,,,,hotel,"Zentrum: 0,6 km",600 m vom Skilift entfernt,Kleines Doppelzimmer
1763924145-28,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 152,,,,hotel,"Zentrum: 4,1 km",2 km vom Skilift entfernt,Mini Budget Doppelzimmer
1763924145-29,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 226,,,,hotel,Zentrum: 1 km,300 m vom Skilift entfernt,Design-Doppelzimmer - Nordseite
1763924145-30,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 760,,,,hotel,"Zentrum: 0,7 km",550 m vom Skilift entfernt,Apartment mit 2 Schlafzimmern
1763924145-31,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 358,,,,hotel,"Zentrum: 1,4 km",250 m vom Skilift entfernt,Zweibettzimmer
1763924145-32,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 156,,,,hotel,"Zentrum: 1,9 km",600 m vom Skilift entfernt,Doppelzimmer mit Balkon
1763924145-33,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 210,,,,hotel,"Zentrum: 4,1 km",2 km vom Skilift entfernt,Comfort Doppelzimmer
1763924145-34,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 456,,,,hotel,Zentrum: 400 m,"1,1 km vom Skilift entfernt",Executive Dreibettzimmer
1763924145-35,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 68,,,,hotel,"Zentrum: 7,3 km","1,5 km vom Skilift entfernt",Bett im 6-Bett-Schlafsaal
1763924145-36,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 234,,,,hotel,"Zentrum: 1,3 km",700 m vom Skilift entfernt,Einzelzimmer mit Bergblick
1763924145-37,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 401,,,,hotel,"Zentrum: 1,1 km",250 m vom Skilift entfernt,Studio-Apartment
1763924145-38,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 366,,,,hotel,"Zentrum: 0,8 km",350 m vom Skilift entfernt,Superior Deluxe Doppel-/ Zweibettzimmer
1763924145-39,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 166,,,,hotel,"Zentrum: 6,9 km","2,5 km vom Skilift entfernt",Doppelzimmer mit Gemeinschaftsbad
1763924145-40,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 531,,,,hotel,Zentrum: 1 km,150 m vom Skilift entfernt,Apartment mit Blick auf die Berge
1763924145-41,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 256,,,,hotel,"Zentrum: 0,7 km",100 m vom Skilift entfernt,Apartment mit 1 Schlafzimmer
1763924145-42,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 300,,,,hotel,"Zentrum: 3,3 km",300 m vom Skilift entfernt,Chalet mit 2 Schlafzimmern
1763924145-43,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 3.916,,,,hotel,"Zentrum: 0,8 km",150 m vom Skilift entfernt,Apartment mit 1 Schlafzimmer
1763924145-44,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 327,,,,hotel,"Zentrum: 6,5 km",40 m vom Skilift entfernt,Zweibettzimmer mit Gemeinschaftsbad
1763924145-45,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 481,,,,hotel,Zentrum: 150 m,650 m vom Skilift entfernt,Apartment mit 2 Schlafzimmern mit Balkon und Terrasse
1763924145-46,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 4.056,,,,hotel,"Zentrum: 3,8 km",950 m vom Skilift entfernt,Apartment mit 2 Schlafzimmern und Bergblick
1763924145-47,https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&,CHF 1.406,,,,hotel,Zentrum: 2 km,"1,4 km vom Skilift entfernt",Chalet mit 2 Schlafzimmern
